Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,9-period EMA of MACD,ROC,PPO,Slow Stoch %K,Slow Stoch %D,Fast %K,Fast %D,Chaikin A/D Oscillator,Upper Band,Middle Band (SMA),Lower Band,Highest High,lowest_low,William %R,Ibovespa: (Brasil)
40918.0,42005.0,40256.0,41976.0,1671600.0,41610.2,41429.4,40714.73333333333,39976.8,41483.00657122968,41157.134033286435,40791.05993364882,40520.63315845119,58.44141610825173,16.882832216503456,42.543258175371996,706.2698056606969,524.3993195230344,0.4234551065815051,4.387526384169115,67.49999999999999,72.08256297088309,84.69565217391305,67.49999999999999,-181022.79927922785,43434.6990500012,39976.8,36518.9009499988,42680.0,38080.0,-15.304347826086957,88
41977.0,44286.0,41977.0,43736.0,2363600.0,41839.6,41757.7,41020.333333333336,40295.15,42234.00438081979,41626.01875450708,41159.177441942724,40826.85857193203,64.65249547970062,29.304990959401238,153.64645797129714,872.1784970781155,593.9551550340506,2.693183685928302,4.718228327868005,79.23427538567164,71.66474918262115,91.1376087657106,79.23427538567164,409384.28856554365,43903.17878453042,40295.15,36687.12121546958,44286.0,38080.0,-8.862391234289397,88
43738.0,44610.0,43520.0,44391.0,1882800.0,42336.4,42189.2,41378.73333333333,40659.45,42953.002920546525,42128.74261732397,41563.15526169988,41166.30061270041,66.65012030149916,33.30024060299831,181.87298617607257,1044.475295230477,684.0591830733358,5.927410695110602,4.978811277807087,90.82650300846053,79.18692613137738,96.64624808575805,90.82650300846053,972042.1277100107,44375.20023245655,40659.45,36943.69976754345,44610.0,38080.0,-3.3537519142419603,88
44385.0,44385.0,43429.0,44167.0,1466200.0,43039.2,42362.0,41749.4,41030.75,43357.668613697686,42499.33486871961,41888.6358539874,41452.081506728944,65.29117783005714,30.582355660114267,148.95547087135282,1149.6938659170191,777.1861196420725,8.643888519912423,5.14805173221085,93.36429487641544,87.80835775684919,92.30902777777777,93.36429487641544,1367607.5280436669,44586.741612757316,41030.75,37474.758387242684,44610.0,38850.0,-7.690972222222222,88
44163.0,44471.0,43593.0,43825.0,1707600.0,43619.0,42596.9,42037.0,41282.25,43513.44574246513,42740.364892588776,42130.68137223897,41678.07374418333,63.17332092557165,26.34664185114329,119.01356188224393,1191.7460923418985,860.0981141820378,7.083516590920191,5.161577941188135,90.54721517168586,91.5793376855206,82.68636965152183,90.54721517168586,1148908.7381385036,44881.40522727214,41282.25,37683.09477272786,44610.0,40076.0,-17.313630348478164,88
43828.0,44390.0,43706.0,44182.0,1782400.0,44060.2,42835.2,42306.333333333336,41551.1,43736.297161643415,43002.48036666354,42387.0962007091,41916.542911403965,64.46893923496634,28.937878469932688,104.28620113406245,1239.590473816177,935.9965861088656,5.2553840289689235,4.7518723716161215,88.5185363876227,90.81001547857466,90.56021173356858,88.5185363876227,1177202.5642662514,45173.13721129428,41551.1,37929.06278870572,44610.0,40076.0,-9.439788266431407,88
44183.0,45702.0,44183.0,45539.0,1923800.0,44420.8,43130.2,42645.4,41870.45,44337.19810776228,43463.6657545429,42781.08417562046,42261.53882460359,68.94181564170586,37.88363128341173,134.21172373114584,1371.199713161368,1023.0372115193661,4.122462044997266,4.876431732396194,90.11626786910419,89.7273398094709,97.10222222222222,90.11626786910419,1562507.4091627612,45709.81830611504,41870.45,38031.08169388495,45702.0,40077.0,-2.897777777777778,88
45536.0,46179.0,45226.0,45992.0,1552600.0,44741.0,43538.7,43039.8,42219.3,44888.79873850819,43923.36289008055,43182.4486536679,42616.82084130801,70.28654508641597,40.573090172831954,137.44224220014107,1494.8229096493524,1117.3943511453633,3.6065869207722256,4.8802807699696915,94.83508336542003,91.1566292073823,96.84281614046937,94.83508336542003,1878223.727621844,46221.88412029022,42219.3,38216.71587970979,46179.0,40256.0,-3.1571838595306434,88
45989.0,46591.0,45284.0,45418.0,2127600.0,44991.2,44015.2,43238.4,42559.85,45065.19915900546,44195.11509188409,43461.89257195941,42883.59980880248,66.36551910166152,32.73103820332303,115.75866848075995,1528.8544976710036,1199.6863804504915,2.832431453347528,4.641052364444512,91.80961947001583,92.25365690151334,81.48382004735596,91.80961947001583,1298480.3677425478,46431.978162910054,42559.85,38687.72183708994,46591.0,40256.0,-18.51617995264404,88
45420.0,45453.0,44811.0,45273.0,1758000.0,45280.8,44449.9,43491.53333333333,42847.95,45134.46610600364,44391.09416608698,43688.281000464485,43111.161731773675,65.37338744611769,30.74677489223539,77.82690810714212,1526.5276279139362,1265.0546299431803,3.3040501996577376,4.491170750965926,85.8405282951788,90.82841037687153,79.19494869771113,85.8405282951788,1188970.7440124424,46626.11217095036,42847.95,39069.78782904964,46591.0,40256.0,-20.80505130228887,88
45277.0,46211.0,45277.0,46025.0,1770800.0,45649.4,44854.8,43773.26666666667,43142.1,45431.310737335756,44688.16795407116,43980.37087540643,43388.67013827142,68.04174708010007,36.083494160200125,96.27790581665707,1567.296859552538,1325.5030758650519,4.171382010773628,4.863151299457053,83.91475927387528,87.18830234635662,91.0655090765588,83.91475927387528,1375110.122692095,46947.71542460615,43142.1,39336.48457539385,46591.0,40256.0,-8.9344909234412,88
46018.0,46187.0,45723.0,45778.0,1465600.0,45697.2,45059.0,43985.86666666667,43408.35,45546.87382489051,44886.31923514913,44205.074515980625,43616.22536319795,66.23626174870512,32.47252349741022,90.6854782954918,1561.6739286762095,1372.7372464272835,0.5248248753815465,5.152782340177988,85.80899763220202,85.18809506708534,87.16653512233623,85.80899763220202,970472.4905906022,47169.000809368,43408.35,39647.699190631996,46591.0,40256.0,-12.833464877663772,88
