Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,Ibovespa: (Brasil)
39152.0,39707.0,38580.0,39015.0,38501.6,37808.7,38075.13333333333,38733.2,38635.28584765592,38414.79931496203,38503.2337795871,38646.914365153076,39706.9575,38733.2,35712.01032704001,39152.0,35722.0,85
39018.0,39713.0,38467.0,38607.0,38874.8,38045.9,38000.26666666667,38638.5,38625.85723177061,38449.74489405984,38516.20455713871,38643.11299704326,39655.2675,38638.5,35728.194758277044,39152.0,35722.0,85
38608.0,39511.0,38080.0,39511.0,39018.0,38350.2,38053.333333333336,38530.35,38920.90482118041,38642.70036786714,38640.55398749637,38725.76890208676,39592.340000000004,38530.35,35935.645756738326,39511.0,35722.0,85
39508.0,40551.0,38850.0,40142.0,39285.4,38524.2,38180.666666666664,38445.4,39327.93654745361,38915.3003009822,38828.23473905933,38860.648054268975,39517.63249999999,38445.4,36202.40500223471,40142.0,35722.0,85
40146.0,41137.0,40146.0,40453.0,39545.6,38832.6,38332.2,38475.7,39702.95769830241,39194.88206443998,39031.33039667691,39012.30062052907,39438.0025,38475.7,36143.20150267998,40453.0,35722.0,85
40453.0,41053.0,40076.0,40076.0,39757.8,39129.7,38458.4,38495.8,39827.30513220161,39355.08532545089,39161.914097092296,39113.605323335825,39356.55,38495.8,36115.896506158264,40453.0,35722.0,85
40077.0,42509.0,40077.0,42439.0,40524.2,39699.5,38872.0,38631.25,40697.87008813441,39915.79708445982,39571.54983495576,39430.30957825622,39277.280000000006,38631.25,35733.7218896963,42439.0,36392.0,85
42439.0,42439.0,41476.0,41476.0,40917.2,39967.6,39205.86666666667,38769.3,40957.24672542294,40199.470341830754,39809.60610558629,39625.13723746991,39203.455,38769.3,35617.069735568155,42439.0,36392.0,85
41478.0,42623.0,41114.0,41799.0,41248.6,40267.0,39432.333333333336,38947.65,41237.83115028196,40490.293916043345,40058.280342388,39832.171786282306,39139.240000000005,38947.65,35543.62313318475,42439.0,36392.0,85
41801.0,42680.0,41801.0,42589.0,41675.8,40610.7,39780.333333333336,39168.1,41688.22076685465,40871.8768403991,40374.6202995895,40094.726854255416,39087.345,39168.1,35436.205741047845,42589.0,36392.0,85
42589.0,42589.0,41586.0,41907.0,42042.0,40899.9,40100.46666666667,39354.3,41761.1471779031,41060.08105123562,40566.167762140816,40267.32429670728,39049.87,39354.3,35469.125198269714,42589.0,36745.0,85
41909.0,41909.0,40351.0,40653.0,41684.8,41104.5,40361.26666666667,39575.2,41391.76478526874,40986.06631464732,40577.021791873216,40304.05531606849,39031.947499999995,39575.2,35929.55686880902,42589.0,38080.0,85
40661.0,41610.0,40661.0,40926.0,41574.8,41246.0,40503.333333333336,39798.1,41236.50985684583,40975.145166529626,40620.644067889065,40363.28814310958,39032.252499999995,39798.1,36403.108106047985,42589.0,38080.0,85
40918.0,42005.0,40256.0,41976.0,41610.2,41429.4,40714.73333333333,39976.8,41483.00657123055,41157.11877261515,40790.06355940293,40516.87974852771,39042.152500000004,39976.8,36518.90094999871,42589.0,38080.0,88
41977.0,44286.0,41977.0,43736.0,41839.6,41757.7,41020.333333333336,40295.15,42234.00438082037,41626.0062685033,41158.30561447756,40823.46262962031,39073.915,40295.15,36687.12121546962,43736.0,38080.0,88
43738.0,44610.0,43520.0,44391.0,42336.4,42189.2,41378.73333333333,40659.45,42953.00292054692,42128.7324015027,41562.39241266787,41163.228093465994,39131.4525,40659.45,36943.69976754361,44391.0,38080.0,88
44385.0,44385.0,43429.0,44167.0,43039.2,42362.0,41749.4,41030.75,43357.66861369795,42499.32651032039,41887.968361084386,41449.30160837399,39218.475,41030.75,37474.75838724278,44391.0,38850.0,88
44163.0,44471.0,43593.0,43825.0,43619.0,42596.9,42037.0,41282.25,43513.4457424653,42740.3580538985,42130.097315948835,41675.55859805267,39327.975,41282.25,37683.094772727956,44391.0,40076.0,88
43828.0,44390.0,43706.0,44182.0,44060.2,42835.2,42306.333333333336,41551.1,43736.29716164354,43002.4747713715,42386.585151455234,41914.26730300004,39459.155,41551.1,37929.06278870583,44391.0,40076.0,88
