Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,GoogleTrends
45778.0,45778.0,44275.0,44433.0,45385.4,45063.2,4.415.426.666.666.660,43626.2,4.517.558.254.992.700,44.803.896.182.711.700,4.423.336.451.453.440,4.369.288.405.013.920,40935.68,43626.2,401.705.191.351.053,46025.0,40256.0,88
44434.0,45369.0,44434.0,44888.0,45279.4,45135.3,44436.6,43748.65,4.507.972.169.995.130,4.481.918.778.585.500,44.315.193.950.217.600,4.380.670.461.679.260,41191.55,43748.65,4.029.636.187.326.440,46025.0,40256.0,88
44888.0,45804.0,44888.0,45801.0,45385.0,45332.9,44761.6,43964.9,4.532.014.779.996.750,449.976.990.975.178,4.450.091.970.644.040,4.399.663.751.043.140,41451.33,43964.9,4.056.774.272.368.800,46025.0,41977.0,88
45801.0,46946.0,45801.0,46772.0,45534.4,45591.9,45.081.333.333.333.300,44213.55,4.580.409.853.331.170,4.532.029.926.160.540,4.478.480.474.313.530,4.426.095.774.753.320,41.714.625,44213.55,40.759.406.431.762.000,46772.0,43429.0,88
46772.0,46772.0,45662.0,45820.0,45542.8,45620.0,4.522.026.666.666.660,44375.1,4.580.939.902.220.780,4.541.115.394.131.350,4.491.420.415.024.340,4.440.943.796.205.380,41.974.975,44375.1,4.093.780.193.902.250,46772.0,43429.0,88
45819.0,46138.0,44966.0,45821.0,45820.4,45602.9,45315.6,44570.8,4.581.326.601.480.520,4.548.567.140.652.920,4.502.755.363.146.300,4.454.387.244.185.820,42235.8,44570.8,4.127.509.888.491.090,46772.0,43593.0,88
45825.0,47410.0,45825.0,47227.0,46288.2,45783.8,45519.6,44899.5,4.628.451.067.653.680,4.580.227.660.534.210,45.302.484.427.530.100,4.479.940.839.977.650,42.502.015,44899.5,4.193.795.996.143.910,47227.0,43706.0,88
47235.0,48126.0,47235.0,47290.0,46586.0,45985.5,45750.6,45217.7,46.619.673.784.357.800,460.727.717.680.072,4.555.092.387.408.880,4.503.660.759.979.780,42.772.995,45217.7,426.976.063.430.104,47290.0,44183.0,88
47290.0,50405.0,47290.0,50405.0,47312.6,46423.5,4.616.546.666.666.660,45639.15,4.788.144.918.957.190,4.686.044.962.836.950,4.615.768.338.982.770,4.554.788.306.648.370,430.561.125,45639.15,42.652.465.532.233.200,50405.0,44275.0,100
50404.0,50909.0,50013.0,50670.0,48282.6,46912.7,4.650.753.333.333.330,45985.85,4.881.096.612.638.120,4.755.309.515.048.410,46.721.722.966.099.200,4.603.570.372.681.860,433.406.475,45985.85,4.241.136.053.855.250,50670.0,44275.0,100
50675.0,52096.0,50672.0,51499.0,49418.2,47619.3,4.687.466.666.666.660,46341.25,4.970.697.741.758.750,4.827.053.239.585.060,4.731.888.259.533.680,465.560.176.575.978,436.247.375,46341.25,4.211.727.159.688.290,51499.0,44275.0,100
51499.0,52079.0,49743.0,50058.0,49984.4,48136.3,47184.0,46635.8,4.982.398.494.505.830,4.859.552.650.569.590,4.766.127.227.091.970,4.688.953.978.544.560,43.904.990.000.000.000,46635.8,42.241.220.584.401.800,51499.0,44275.0,100
50066.0,51396.0,50051.0,51396.0,50805.6,48695.8,47592.2,47014.35,5.034.798.996.337.220,4.910.470.350.466.030,4.812.811.323.705.480,4.731.872.647.254.600,44.191.595,47014.35,4.235.699.996.913.490,51499.0,44275.0,100
51389.0,51389.0,50060.0,50976.0,50919.8,49116.2,4.792.226.666.666.660,47354.05,5.055.732.664.224.810,4.944.493.923.108.570,4.848.409.908.242.290,4.766.703.823.706.540,4.448.174.250.000.000,47354.05,4.258.290.571.482.070,51499.0,44275.0,100
50980.0,51565.0,49808.0,50326.0,50851.0,49566.8,4.822.546.666.666.660,47593.4,5.048.021.776.149.870,49.605.132.098.161.000,4.871.433.669.712.000,47.920.272.690.678.200,44767.89,47593.4,4.273.106.721.007.300,51499.0,44434.0,100
50317.0,50317.0,48430.0,48679.0,50287.0,49852.6,4.850.853.333.333.330,47727.75,4.987.981.184.099.910,4.943.674.444.394.990,4.870.991.960.998.000,4.799.253.243.442.320,450.433.125,47727.75,4.290.147.922.951.900,51499.0,44888.0,100
48671.0,49461.0,48284.0,49446.0,50164.6,50074.5,48812.4,47929.15,4.973.520.789.399.940,4.943.842.727.232.260,48.801.929.658.732.500,4.813.095.791.685.900,453.117.775,47929.15,4.316.951.458.223.960,51499.0,44966.0,100
49447.0,49552.0,48796.0,49007.0,49686.8,50246.2,4.902.613.333.333.330,48115.85,49.492.471.929.332.900,4.935.998.595.008.210,48.827.563.451.391,4.821.439.049.620.580,455.751.725,48115.85,4.349.675.622.416.050,51499.0,44966.0,100
49012.0,51490.0,49012.0,51463.0,49784.2,50352.0,4.933.886.666.666.660,48387.75,5.014.931.461.955.530,49.742.352.140.976.300,4.915.699.301.996.710,4.852.378.187.751.950,45.837.455,48387.75,4.365.418.255.567.230,51499.0,44966.0,100
51465.0,52145.0,50987.0,51347.0,49988.4,50419.7,49.707.333.333.333.300,48666.2,5.054.854.307.970.350,50.034.106.297.162.400,4.943.074.389.247.120,4.879.265.979.394.620,461.003.475,48666.2,4.392.428.095.387.540,51499.0,45825.0,100
51349.0,52640.0,51143.0,51245.0,50501.6,50394.3,5.006.893.333.333.330,49006.8,5.078.069.538.646.900,5.025.426.878.858.740,4.965.752.590.591.230,4.902.621.600.404.660,463.693.775,49006.8,4.456.069.965.925.200,51499.0,47235.0,100
51244.0,51244.0,49565.0,50087.0,50629.8,50397.2,50259.6,49266.75,5.054.946.359.097.930,5.022.385.628.157.150,49.711.210.167.673.200,4.912.724.305.128.020,466.452.825,49266.75,4.522.472.378.162.890,51499.0,47290.0,100
50089.0,50893.0,49989.0,50568.0,50942.0,50314.4,5.047.813.333.333.330,49505.1,5.055.564.239.398.620,5.028.642.786.674.030,4.981.830.889.671.410,492.644.579.987.774,469.222.925,49505.1,457.571.540.612.225,51499.0,48284.0,100
50817.0,51934.0,50074.0,51841.0,50911.4,50449.9,50583.6,50008.35,51.041.952.175.105.000,5.064.785.667.112.370,5.018.026.774.904.670,4.964.353.591.283.130,474.786.425,50008.35,4.680.537.099.444.920,51841.0,48284.0,100
51840.0,53092.0,51637.0,51792.0,51020.8,50761.2,5.060.313.333.333.330,50306.9,5.129.196.811.673.660,508.558.827.309.194,5.038.173.428.041.590,4.984.815.154.018.070,477.654.475,50306.9,4.765.509.918.545.930,51841.0,48284.0,100
