Open_IBOVESPA,High_IBOVESPA,Low_IBOVESPA,Close_IBOVESPA,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,ema_sinal,ROC,PPO,TMA,Slow_Stochastic_%K,Slow_Stochastic_%D,Fast_Stochastic_%K,Fast_Stochastic_%D,Chaikin_Oscillator,bb_high_band,bb_middle_band,bb_lower_band,Highest High,lowest_low,wr,GoogleTrends,variation_USB,variation_gold,variation_silver,variation_oil
41977.0,44286.0,41977.0,43736.0,41839.6,41757.7,41020.333333333336,40295.15,42234.00438082037,41626.0062685033,41158.30561447756,40823.46262962031,64.89925113585127,39.052030771776,137.8137605855548,868.3242188777804,309.083404537594,12.100474176598745,2.141155182573451,39073.915,91.1376087657106,79.23427538567164,91.1376087657106,79.23427538567164,1.4515103847247983,0.0,40295.15,36687.12121546962,43736.0,38080.0,-8.862391234289397,88,0.0825,-19.5,0.0900001525878906,4.189998626708984
43738.0,44610.0,43520.0,44391.0,42336.4,42189.2,41378.73333333333,40659.45,42953.00292054692,42128.7324015027,41562.39241266787,41163.228093466,66.90729445739497,46.88715953307393,159.90031406381763,1040.8208031414397,383.2013250694141,14.981739062864246,2.5486433675155284,39131.4525,96.64624808575805,90.82650300846052,96.64624808575805,90.82650300846052,1.3490681127083597,1.0,40659.45,36943.69976754361,44391.0,38080.0,-3.3537519142419603,88,0.0329999999999999,-9.0,-0.3049993515014648,0.1499977111816406
44385.0,44385.0,43429.0,44167.0,43039.2,42362.0,41749.4,41030.75,43357.66861369795,42499.32651032039,41887.96836108439,41449.30160837399,65.52669916228336,39.94509265614276,140.88403483741249,1146.2375480415576,461.1582431286647,11.784060135152236,2.789930657358974,39218.475,92.30902777777776,93.36429487641546,92.30902777777776,93.36429487641546,1.117057644969044,0.0,41030.75,37474.75838724278,44391.0,38850.0,-7.690972222222222,88,0.0290000000000003,-23.5,-0.3800001144409179,-1.3500022888183594
44163.0,44471.0,43593.0,43825.0,43619.0,42596.9,42037.0,41282.25,43513.4457424653,42740.3580538985,42130.09731594884,41675.55859805267,63.37647483793684,32.400809360429314,126.78341834482804,1188.4844274015704,540.1437180575014,9.174929002042749,2.878537861039713,39327.975,82.68636965152184,90.54721517168588,82.68636965152184,90.54721517168588,0.771043547855541,0.0,41282.25,37683.09477272796,44391.0,40076.0,-17.313630348478164,88,-0.0131000000000001,10.0,-0.1000003814697265,-2.2399978637695312
43828.0,44390.0,43706.0,44182.0,44060.2,42835.2,42306.333333333336,41551.1,43736.29716164354,43002.4747713715,42386.585151455234,41914.26730300004,64.67940252801199,32.67326732673268,120.31384087286987,1236.518484707551,618.5494126779588,9.218104961313127,2.979406951264032,39459.155,90.5602117335686,88.51853638762275,90.5602117335686,88.51853638762275,0.6417026595887803,0.0,41551.1,37929.06278870583,44391.0,40076.0,-9.439788266431409,88,0.0095999999999998,0.79998779296875,0.0100002288818359,0.9099998474121094
44183.0,45702.0,44183.0,45539.0,44420.8,43130.2,42645.4,41870.45,44337.19810776237,43463.66117657668,42780.63700752333,42259.47994080956,69.16933109459931,44.08133623819898,150.54829974716912,1368.3113388964705,698.719534283792,13.631599960075857,3.273378694554788,39611.44,97.10222222222222,90.11626786910422,97.10222222222222,90.11626786910422,0.6534906085843646,0.0,41870.45,38031.0816938851,45539.0,40077.0,-2.897777777777778,88,0.0614999999999996,-0.20001220703125,0.0599994659423828,2.2800025939941406
45536.0,46179.0,45226.0,45992.0,44741.0,43538.7,43039.8,42219.3,44888.798738508245,43923.35914447183,43182.05738158291,42614.95804168483,70.51671186440407,33.892969569779645,154.39106964662332,1492.1113091140433,781.7640831047354,8.372016305756498,3.543229171470073,39785.745,96.84281614046937,94.83508336542006,96.84281614046937,94.83508336542006,0.622369743530179,0.0,42219.3,38216.71587970977,45992.0,40256.0,-3.1571838595306434,88,0.0478,12.20001220703125,0.042999267578125,-1.950000762939453
45989.0,46591.0,45284.0,45418.0,44991.2,44015.2,43238.4,42559.85,45065.1991590055,44195.11202729513,43461.55020888505,42881.91441866723,66.54807580794557,39.05290271448385,132.946257867715,1526.312296502576,864.6945228860528,9.50429163853795,3.603486745337906,39981.8125,81.48382004735596,91.80961947001585,81.48382004735596,91.80961947001585,0.4028528188293945,0.0,42559.85,38687.72183709016,45992.0,40256.0,-18.51617995264404,88,0.0194999999999998,-5.199951171875,0.0650005340576171,-0.5499992370605469
45420.0,45453.0,44811.0,45273.0,45280.8,44449.9,43491.53333333333,42847.95,45134.46610600367,44391.09165869601,43687.98143277442,43109.63685498463,65.54455442885408,35.03428801936264,97.28773227592524,1524.1471180006847,944.1481081506812,8.311203617311419,3.580115035738209,40197.6925,79.19494869771113,85.8405282951788,79.19494869771113,85.8405282951788,0.336663387631724,0.0,42847.95,39069.78782904976,45992.0,40256.0,-20.80505130228887,88,0.0261999999999997,2.79998779296875,-0.1099996566772461,0.0900001525878906
45277.0,46211.0,45277.0,46025.0,45649.4,44854.8,43773.26666666667,43142.1,45431.31073733578,44688.16590256945,43980.10875367762,43387.29048784324,68.2210423994222,34.784369305527434,111.31402520783035,1565.0701591402249,1019.8352847596252,8.067810937096434,3.654288929018169,40432.5275,91.0655090765588,83.91475927387529,91.0655090765588,83.91475927387529,0.3457046957434898,0.0,43142.1,39336.48457539396,46025.0,40256.0,-8.9344909234412,88,0.0522,-11.60003662109375,-0.0200004577636718,0.279998779296875
